Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_initial";"ubsi.yalk.initial.60";"ЯЛК адрес 60: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=60; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.60";"ЯЛК адрес 60: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.61";"ЯЛК адрес 61: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=61; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.61";"ЯЛК адрес 61: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.62";"ЯЛК адрес 62: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=62; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.62";"ЯЛК адрес 62: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.63";"ЯЛК адрес 63: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=63; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.63";"ЯЛК адрес 63: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.64";"ЯЛК адрес 64: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=64; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.64";"ЯЛК адрес 64: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.65";"ЯЛК адрес 65: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=65; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.65";"ЯЛК адрес 65: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.66";"ЯЛК адрес 66: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=66; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.66";"ЯЛК адрес 66: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.67";"ЯЛК адрес 67: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=67; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.67";"ЯЛК адрес 67: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.68";"ЯЛК адрес 68: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=68; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.68";"ЯЛК адрес 68: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.69";"ЯЛК адрес 69: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=69; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.69";"ЯЛК адрес 69: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.70";"ЯЛК адрес 70: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=70; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.70";"ЯЛК адрес 70: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.74";"ЯЛК адрес 74: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=74; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.74";"ЯЛК адрес 74: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.75";"ЯЛК адрес 75: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=75; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.75";"ЯЛК адрес 75: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.76";"ЯЛК адрес 76: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=76; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.76";"ЯЛК адрес 76: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.77";"ЯЛК адрес 77: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=77; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.77";"ЯЛК адрес 77: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.78";"ЯЛК адрес 78: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=78; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.78";"ЯЛК адрес 78: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.79";"ЯЛК адрес 79: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=79; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.79";"ЯЛК адрес 79: исходный сигнал";1;"лог.";1;1;"OK";""
